listing_id,description,room_type,price,nbhood_full,host_name,last_review,month,price_per_month
20912843,East Harlem 1 bed apt- central location!,entire home/apt,121,"Manhattan, East Harlem",Caryn,2019-06-18,6,3690.5
20914216,2 bedroom Modern Apt. in Prime Williamsburg,entire home/apt,90,"Brooklyn, Williamsburg",Deniz,2019-06-30,6,2745.0
20914425,"Room in duplex  w/sep. bathroom, close to J train",private room,100,"Brooklyn, Bedford-Stuyvesant",Semih,2019-02-11,2,3050.0
20914711,Two Bedroom Pied A Terre,entire home/apt,250,"Brooklyn, Clinton Hill",Jj,2019-04-10,4,7625.0
20915427,Tiny homes on water,entire home/apt,250,"Brooklyn, Mill Basin",Marie L,2019-07-07,7,7625.0
20915909,Spacious 2-bedroom townhouse apt in Clinton Hill,entire home/apt,225,"Brooklyn, Clinton Hill",Daniel,2019-06-23,6,6862.5
20917327,AWESOME APARTMENT mins from JFK and LGA,entire home/apt,85,"Queens, St. Albans",Melrose,2019-06-17,6,2592.5
20917712,"@FERRY, Private Cozy Room, Renovated&Stylish.",private room,29,"Staten Island, St. George",Dine,2019-06-24,6,884.5
20917909,"Huge Room, Access to Garden,Prime Williamsburg",private room,85,"Brooklyn, Williamsburg",Sahar,2019-06-22,6,2592.5
20919726,Cozy room in Sunset Park,private room,79,"Brooklyn, Sunset Park",Kirstie,2019-06-10,6,2409.5
20920048,Cozy Private Bedroom/Bathroom,private room,125,"Manhattan, Harlem",David,2019-01-09,1,3812.5
20920138,Roomy Riverside Apartment,private room,78,"Manhattan, Washington Heights",Alyssa,2019-05-18,5,2379.0
20926018,Beautiful Home in Queens,entire home/apt,113,"Queens, Springfield Gardens",LaToya,2019-07-01,7,3446.5
20926888,Bedstuy/Bushwick 3 FLOOR TOWNHOUSE,entire home/apt,370,"Brooklyn, Bedford-Stuyvesant",Jeremy,2019-06-23,6,11285.0
20927532,Newly renovated garden apartment in brownstone!,entire home/apt,150,"Brooklyn, Carroll Gardens",Michael,2019-03-06,3,4575.0
20927619,PRIVATE CLEAN ROOM,private room,60,"Queens, Ditmars Steinway",Shuly,2019-01-03,1,1830.0
20933293,Cozy Moroccan 1BR APT in the heart of Astoria,private room,50,"Queens, Astoria",Rhita,2019-06-21,6,1525.0
20933848,Prime Location of Flushing Queens 豪华卧室 旅途中的家 A,private room,60,"Queens, Flushing",Max,2019-06-23,6,1830.0
